,TITRE COMMENTAIRE,DATE EXPERIENCE,COMMENTAIRE,QUI A COMMENTÉ,NOMBRE AVIS LAISSÉ PAR CETTE PERSONNE,LOCALISATION DE LA PERSONNE QUI A COMMENTÉ,PRÉSENCE D'UNE RÉPONSE (booléen),QUI A RÉPONDU,RÉPONSE AU COMMENTAIRE,NOMBRE D'ÉTOILE
10,Site d arnaque à éviter,14 mars 2023,"Site d arnaque à éviter. Les photos ne correspond pas du tout.
le sav vous dit que les foto ne sont pas contractuel. En clair vous commander une table il vous envoie un couteau.",Max Feber,13 avis,FR,True,Showroomprive.com,"Bonjour Max,

Je suis navrée d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Je vous présente nos excuses pour ce désagrément.

Après vérification, nous constatons que votre réclamation a été prise en charge et un mail vous a été envoyé par nos services.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de notre direction afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",1
11,Déçue,11 mars 2023,Je suis déçue car 3jours après avoir passé ma commande je suis tombé sur le même article en magasin moins cher que le prix de la vente privée.De plus le produit présente des défauts esthétiques.,Tania,1 avis,FR,True,Showroomprive.com,"Bonjour Tania,

Nous sommes navrée d'apprendre votre déception quant au prix de votre commande.

Je comprends tout à fait vos interrogations relatives aux prix et je vais vous apporter quelques précisions sur ce sujet.

Les prix proposés sur notre site sont au cœur de nos préoccupations. Un important travail de vérification est d’ailleurs effectué afin de vous offrir des réductions avantageuses.

Sachez que votre satisfaction est notre priorité, et que nous essayons autant que possible de vous offrir les meilleurs prix, cependant, nous ne pouvons garantir les prix les plus bas du marché. C’est en effet le jeu de la libre concurrence.

J’espère avoir répondu à votre attente et reste à votre disposition pour tout complément d'information.

Cordialement,

Ghita",3
12,Service client néant,04 mars 2023,"Franchement je suis déçu c'est la 1ère fois que je renvois un article, une montre connectée, car l'écran resté tout le temps tout noir et que la batterie n'a même pas tenue 24h. Sauf qu'en rentrant chez moi je me suis aperçu que j'avais oubliée de coller l'étiquette de retour j'ai tout de suite appelé pour leurs demander de l'aide, ça va faire 1 semaine que j'ai renvoyée le colis et je n'ai toujours pas de nouvelles je ne sais même pas ils ont récupérés mon colis...C'est franchement pas sérieux",Lineute Broyez,1 avis,FR,True,Showroomprive.com,"Bonjour Lineute,

Je suis sincèrement navrée d'apprendre que le retour de votre commande ne vous ait pas apporté entière satisfaction.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre réclamation.

Cordialement,

Stéphanie",1
13,Prix de base faux et photos différentes du vêtement .,11 mars 2023,"Concerne ventes vêtements 123 , coloris qui diffèrent des photos , fabriqués en Chine et non en France . Étiquettes coupées afin de ne pas constater le réel prix qui est différent de celui affiché sur le site . C est moins attrayant . C est assez régulier que vous affichez des prix de base faux afin de nous faire croire que l on fait une affaire . Actuellement , c est le cas des lunettes Feler , le prix de base n est pas 140 e ! Ce sont des lunettes espagnoles avec un prix moyen de 25 e !!! C est de la tromperie sur marchandise . Je lis souvent cette combine de votre part . D une vente à l autre , le même vêtement prend une hausse de 50 % ! En 1 mois de différence . Il faudrait cesser toutes ces manœuvres si vous ne voulez pas que les clients partent vu la conjoncture économique actuelle . Livraison Ok",Marie,19 avis,FR,True,Showroomprive.com,"Bonjour Marie,

Je suis sincèrement désolé d'apprendre que votre expérience ne s'est pas passé comme prévu.

Souhaitant vous apporter mon aide, je vous prie de bien vouloir renouveler votre réclamation en nous faisant parvenir votre adresse e-mail ou le numéro de l'une de vos commandes.

Bien à vous,

Othmane",3
14,Mitigée …,15 mars 2023,"Article conforme très bon état et bien emballé
par contre le chargeur n’étant pas le bon dans le colis j’ai dû en acheter un autre",Edwige,2 avis,FR,False,,,3
15,Non satisfaite,11 mars 2023,Après 3 semaines d attente j'ai reçu un produit qui ne correspond pas du tout à celui commandé et pour le retourner c'est à moi de payer les frais de port. C est inadmissible. Et bien sûr on ne peut joindre personne par téléphone.,Chapart,1 avis,FR,True,Showroomprive.com,"Bonjour Jennifer,

Je suis sincèrement navrée d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre réclamation.

Cordialement,

Stéphanie",2
16,Mauvais étiquetage,11 mars 2023,"J'ai commandé deux paires de tennis addidas taille 49 1/3
Une paire est très bien et la deuxième la taille indiquée sur la boîte et sur la paire de chaussure est bien du 49 1/3 mais la taille réelle de la paire est bien inférieure",Veronique Pozzobon,2 avis,FR,True,Showroomprive.com,"Bonjour Véronique,

Nous sommes navrés d'apprendre que votre commande ne vous ait pas apporté entière satisfaction,

Je vous informe que vous avez la possibilité de procéder à une demande de retour depuis votre espace client pour le remboursement de votre commande.

Cordialement,

Ghita",2
17,Excellente expérience,04 mars 2023,"Excellente expérience ! Commande arrivée à l’heure . Je continuerai certainement mes achats sur ce site.
Je voudrais essayer l’expérience voyage j’espère aussi être ravie.",Karo,1 avis,FR,True,Showroomprive.com,"Bonjour Karo,

Nous vous remercions d'avoir partagé cette appréciation si positive avec les internautes.

Nous continuerons à faire notre maximum pour vous apporter entière satisfaction.

À très bientôt sur Showroomprive.com.

Bien à vous,

Ghita",5
18,Colis jamais arrivé- SAV mauvais,08 mars 2023,"Colis jamais arrivé. Livreur visiblement impossible à Piloter. Sav ne vous laissant pas parler et ne prennent pas en compte vos question. Déjà plusieurs mauvaises expériences, la dernière confirme que showroomprivé a besoin de revoir sa chaîne logistique et clientèle très rapidement.",JEAN FRANCOIS,7 avis,FR,True,Showroomprive.com,"Bonjour Jean,

Je suis sincèrement navrée d'apprendre que vous n'ayez pas reçu votre commande.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre réclamation.

Cordialement,

Stéphanie",1
19,Constatation,08 mars 2023,"Bonjour

Je me permets de vous contacter car je ne comprends pas vos prix. Par exemple sur la vente de cricut vous êtes au même prix voire même plus cher qu'à Cultura vous êtes pourtant un site de vente privée et vous devez être censé faire des prix défiant toutes concurrences. Je trouve que vous êtes un site dit d'arnaque car ce n'est pas la première fois que je vois des prix au même niveau et plus cher
Déception
Cordialement",sophie crété,1 avis,FR,True,Showroomprive.com,"Bonjour Sophie,

Je comprends tout à fait vos interrogations relatives aux prix et je vais vous apporter quelques précisions sur ce sujet.

Les prix proposés sur notre site sont au cœur de nos préoccupations. Un important travail de vérification est d’ailleurs effectué afin de vous offrir des réductions avantageuses.

Sachez que votre satisfaction est notre priorité, et que nous essayons autant que possible de vous offrir les meilleurs prix, cependant, nous ne pouvons garantir les prix les plus bas du marché. C’est en effet le jeu de la libre concurrence.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",1
20,Qualité médiocre,09 mars 2023,"Quand j'ai retiré mon colis au point relai, le commerçant n'a pas voulu noté les bosses dans le carton.
Concernant le produit, pour le prix, je suis déçue de la qualité. Le pré perçage est mal fait ce qui donne des décalages, la notice n'est pas en français. Globalement déçue.",Chloe,2 avis,FR,True,Showroomprive.com,"Bonjour Chloé,

Je suis sincèrement navrée d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Je vous présente mes excuses pour cette situation.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Cordialement,

Ghita",1
21,Très déçue,10 mars 2023,"Suite à un article trop grand, j’ai souhaité faire un retour mais les frais de retour d’une montant de 6,50€ étaient à ma charge alors que l’article m’avait coûté 7,90€ … Je ne commanderai plus de vêtements !",Lucie,1 avis,FR,True,Showroomprive.com,"Bonjour Lucie,

Je suis sincèrement navrée d'apprendre qu'un article de votre commande ne vous ait pas apporté entière satisfaction. De plus vous déplorez la prise en charge des frais de retour.

Je vous présente mes excuses pour ce désagrément.

En effet, afin que Showroomprivé puisse proposer les meilleurs tarifs à l’ensemble de ses membres, les frais de retour ne sont pris en charge que lorsque le colis livré ne correspond pas à la commande initiale. S’il en allait différemment, le prix unitaire de chaque article s’en verrait modifié à la hausse.

Si besoin, nous restons à votre disposition pour tout renseignement.

Bien à vous,

Stéphanie",2
22,Qualité du colis,09 mars 2023,"Bonjour!
J ai récupéré mon colis avec l emballage déchiré et les boîtes de chaussures toutes abîmées.
Impossible de garder les boîtes si j avais voulu.
J estime que les transporteurs pourraient faire un minimum attention.
Bonne soirée",Katia,1 avis,FR,True,Showroomprive.com,"Bonjour Katia,

Je suis sincèrement navrée d'apprendre que vous ayez reçu votre colis abimé.

Je vous présente nos excuses pour ce désagrément.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de notre direction afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Ghita",3
23,Extrêmement déçue par l'offre second show,01 mars 2023,"Extrêmement déçue par le service second show / sélection engagée.
J'ai envoyé 7 pulls enfants, lavés, en très bon état, avec les étiquettes et sans aucun trou ou défaut. Ce qui est demandé par Showroomprive. J'avais d'ailleurs pris des photos, sous tous les angles, desdits pulls préalablement pour être sûre d'avoir des preuves de la qualité et de la propreté de ce que j'avais envoyé. Bizarrement ils ont reçu le colis et aucun pull n'a trouvé grâce à leur yeux. J'ai juste reçu un mail m'indiquant que ''certains'' vêtements ne convenaient pas et je n'ai donc
pas bénéficié du bon d'achat.
Aucune preuve de leurs dires, on doit juste considérer que nos vêtements ne leur conviennent pas et ils ne vous les renvoient pas, bien sûr.
On ne m'y reprendra plus. L'idée en soit était bonne mais la malhonnêteté de la société l'emporte. Comme toujours.
J'ai fait un mail au service client mais qui est resté lettre morte. Bref. Je ne perdrai plus de temps avec Showroomprive.",Julie,3 avis,FR,True,Showroomprive.com,"Bonjour Julie,

Je suis navrée d'apprendre que votre expérience avec nos services ne s'est pas bien déroulée.

Afin de pouvoir prendre en charge votre réclamation merci de bien vouloir renouveler votre réclamation en nous transmettant l'adresse mail relative à votre compte Showroomprivé, sans laquelle, nous ne pourrons vous contacter.

Cordialement,

Ghita",1
24,Un peu déçu,11 mars 2023,"Un peu déçu, un colier soit disant à plus de 1000e reçu dans une mini boîte qui fait 7x7cm, je vous laisse imaginer comment un colier en or dans une mini boîte.....lamentable",Malek,1 avis,FR,True,Showroomprive.com,"Bonjour Malek,

Nous sommes navrés d'apprendre que le conditionnement de votre commande ne vous ait pas apporté entière satisfaction.

Toutes nos excuses.

Cordialement,

Ghita",3
25,Délais de livraison tenu,09 mars 2023,"Délais de livraison tenu
Mon parfum est exactement le même que celui acheté en parfumerie mais moitié moins Cher livraison compris.
Je suis très satisfaite de ce site et commande en toute confiance.",Sylvie,1 avis,FR,True,Showroomprive.com,"Bonjour Sylvie,

Vous nous faites part de votre satisfaction concernant la qualité de nos articles.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
26,Je suis déçue de mon dernier achat,10 mars 2023,"Je suis déçue de mon dernier achat
Gilet bleu marine 123
Avec des boutons

Reçu un gilet bleu marine 123 d un autre modèle

Je ne recommande pas ce site",MICHELE ZAMY,4 avis,FR,True,Showroomprive.com,"Bonjour Michele,

Je suis sincèrement désolé d'apprendre que vous n'ayez reçu l'article commandé.

Je vous présente nos excuses pour ce désagrément.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service.

Par ailleurs, je vous informe avoir pris en charge votre réclamation.

Rassurez-vous, je vous contacterai aujourd'hui afin d'échanger avec vous à ce sujet.

Bien à vous,

Othmane",1
27,toujours très compliqué d'utiliser la…,06 mars 2023,toujours très compliqué d'utiliser la site car si on fait une préselection de taille par ex une fois les produits en ligne lorsqu'on clique pour en voir 1 ou en sélectionner 1 toutes les préselections dispataissent bref il faut être motivé et être à la recherche d'un précis sinon on abandonne,Jocelyne,1 avis,FR,True,Showroomprive.com,"Bonjour Jocelyne,

Merci pour votre évaluation, nous comprenons votre point de vue et nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service !

Ce sont vos commentaires qui nous permettent de le faire.

À bientôt sur nos ventes.

Cordialement,

Othmane",3
28,Prestation de qualité,11 mars 2023,"Respectueux des délais, livraison anticipée, organisée, prestataire très sérieux !
Marchandise conforme à l’attendu
Bravo pour votre professionnalisme !!",Cathy Cachoir,3 avis,FR,True,Showroomprive.com,"Bonjour Cathy,

Vous nous faites part de votre satisfaction concernant la conformité de votre commande ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
29,Livraison,27 février 2023,"Au niveau de la commande rien à dire, c'était impeccable. Par contre Par rapport à la livraison, paquet ouvert, livré par un transporteur privé. Heureusement que ma commande n'a pas intéressé la personne. J'ai tout reçu mais ce n'est pas agréable de voir sa commande ouverte.",Gaelle,1 avis,FR,True,Showroomprive.com,"Bonjour Gaelle,

Je suis sincèrement désolé d'apprendre que vous ayez reçu votre colis ouvert.

Je vous présente nos excuses pour ce désagrément.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de notre direction afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Othmane",3
30,Tres beau plafonniers,13 février 2023,"Tres beau plafonniers, reçu bien emballés, seulement il n'y avait pas d'ampoules dedans et le temps de livraison était trop long.",Bies,1 avis,FR,True,Showroomprive.com,"Bonjour,

Je suis sincèrement navrée d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre réclamation.

Cordialement,

Ghita",3
31,Le pull bleu ne correspond pas au pull…,12 mars 2023,"Le pull bleu ne correspond pas au pull choisi.
C est la deuxième fois que cela se reproduit.
J hésite à racheter un produit via votre plate-forme",Michele,1 avis,FR,True,Showroomprive.com,"Bonjour Michele,

Je suis sincèrement désolé d'apprendre que vous n'ayez reçu l'article commandé.

Je vous présente nos excuses pour ce désagrément.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service.

Par ailleurs, je vous informe avoir pris en charge votre réclamation.

Rassurez-vous, je vous contacterai aujourd'hui afin d'échanger avec vous à ce sujet.

Bien à vous,

Othmane",1
32,La taille de l'article était…Taille non correcte,11 mars 2023,"La taille de l'article était inadéquate.
J'ai commandé un M,l'article correspondait à un L ou un XL.c'est décevant et malhonnête",Marie-Laure Gauziede,2 avis,FR,True,Showroomprive.com,"Bonjour Marie-Laure,

Je suis sincèrement navrée d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre réclamation.

Cordialement,

Ghita",3
33,Commande Columbia bonne dans…,11 mars 2023,"Commande Columbia bonne dans l'ensemble. un article à la taille XL qui correspond à XXL. Retour....donc 6,50 euros de port. C'est navrant....",Sylvie,1 avis,FR,True,Showroomprive.com,"Bonjour Sylvie,

Vous nous faites part de votre satisfaction quant aux produits commandés.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes et sommes heureux de vous compter parmi nos clients.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",4
34,très satisfaite de ce produit,12 mars 2023,très satisfaite de ce produit . reste à l'installer quand notre cuisine sera finie. date de livraison prévue comme indiquée à la commande.,ADAM,3 avis,FR,True,Showroomprive.com,"Bonjour Mylène,

Nous vous remercions de votre confiance et fidélité.

À très bientôt sur Showroomprive.com.

Bien à vous,

Othmane",5
35,A éviter,19 janvier 2023,Colis pas livré dans les délais annoncés pour pas changer maintenant le colis est retourner depuis le 1 mars je suis toujours pas remboursé à éviter vraiment pas sérieux,Jefferson,25 avis,FR,True,Showroomprive.com,"Bonjour Jfferson,

Je suis sincèrement navrée d'apprendre que vous n'avez toujours pas reçu votre remboursement.

Je vous présente mes excuses pour cette situation.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Reda",1
36,Rapide,11 mars 2023,Je suis contente de ma commande elle est arrivée rapidement c'est super. Et en plus tout est conforme comme sur le site.,Jocelyne,8 avis,FR,True,Showroomprive.com,"Bonjour Jocelyne,

Nous vous remercions d'avoir partagé cette appréciation si positive avec les internautes.

Nous continuerons à faire notre maximum pour vous apporter entière satisfaction.

À très bientôt sur Showroomprive.com.

Bien à vous,

Ghita",5
37,Bonjour,08 mars 2023,"Bonjour, j’ai commandé un ensemble de casserole Pierre Gourmet, je n’ai pas la commande dans mes rubriques. Cela fait déjà deux fois que j’envoie un mail pour savoir où est mon colis et personne ne me répond.",Léa Pécheux,1 avis,FR,True,Showroomprive.com,"Bonjour Léa,

Nous sommes sincèrement navrés d'apprendre que vous n'avez pas la possibilité de suivre votre commande.

Je vous confirme avoir pris en charge votre réclamation et me permettrai de vous recontacter à ce sujet.

Cordialement,

Ghita",1
38,Produits conformes,24 février 2023,Contente de ma commande. Produits conformes aux descriptions. Délais de livraison respecté.,Louise,1 avis,FR,False,,,5
39,Bons prix,16 février 2023,"Bons prix, soin dans la préparation des articles (en verre) expédiés, what else ! pour parodier Georges.",Didier Dassonville,5 avis,FR,True,Showroomprive.com,"Bonjour Didier,

Nous vous remercions d'avoir partagé cette appréciation si positive avec les internautes.

Nous continuerons à faire notre maximum pour vous apporter entière satisfaction.

À très bientôt sur Showroomprive.com.

Bien à vous,

Othmane",5
40,Je suis un peu déçu...,10 mars 2023,"Je suis un peu déçu.... Première commande tout va bien je reçois des draps de lit le top du top... 2 ème commande je refais une commande de drp de lit, même marque, même taille ,même tissus je modifie juste la couleur, et bien quand la commande est arrivée les draps sont trop grand alors que j' ai pris la même taille qu a la première commande et que ça allait bien...et Pas du tout la même matière ( 1 ère déception)
Puis on commande des chaussures de foot super contente.
Derniere commande, je me décide a prendre des meubles un bureau et une étagère/bibliothèque. Quand ils sont arrivés après plus d un mois d attente, qu elle déception 😞 mauvaise qualité, plan de montages tellement petit qu il faut une loupe pour le lire, les pieds de ma bibliothèque sont en plastiques ! Meubles branlant a crever , il a fallut rajouter des renforts, et la bibliothèque est tellement petite que je ne sais même pas y ranger un livre en A4 alors que les photos semblait la faire paraitre beaucoup plus grande ! Bref cette 2eme déception sera je pense la dernière... Je ne pense pas réitérer l expérience...",Marie Chauchefoin,1 avis,BE,True,Showroomprive.com,"Bonjour Marie,

Je suis sincèrement navrée d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre réclamation.

Cordialement,

Stéphanie",2
41,meuble (table) mal faite (percements…,10 mars 2023,"meuble (table) mal faite (percements mal faits) le meuble ne peut pas être fonctionnel
cela fait plus d'une semaine que vous attendais le retour du fournisseur...",une pas contente,5 avis,FR,True,Showroomprive.com,"Bonjour Cecile,

Je suis sincèrement désolée d'apprendre que vous avez reçu votre meuble avec des défauts.

Je vous présente nos excuses pour ce désagrément.

Après vérification, je vous informe que votre réclamation a bien été prise en prise en charge par nos services.

Rassurez-vous, votre dossier est bien en cours de traitement et vous serez recontacté dans les plus brefs délai.

Bien à vous,

Nawal",1
42,Les produits sont très bien mais c'est…,04 janvier 2023,Les produits sont très bien mais c'est le délai de livraison qui a été long entre la commande faites sur le site et le dépôt de la commande il s'est passé un mois c'est trop long,Frosine,1 avis,FR,True,Showroomprive.com,"Bonjour Frosine,

Je vous remercie pour votre appréciation.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Pour vous expliquer, les contraintes logistiques inhérentes à la nature des ventes événementielles ne nous permettent pas d’accélérer la livraison.

En effet, bien que nous mettions tout en œuvre pour réduire au minimum les délais de livraison, nous restons tributaires de la date de réception de la marchandise envoyée par notre fournisseur, ainsi que du temps nécessaire à la préparation de votre commande.

Par ailleurs, je vous informe avoir remonté cette observation auprès de notre Direction.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",2
43,Thes excellents,13 mars 2023,"Livraison de la commande de Thés bien reçue , les produits sont tres bien , en bon etat",BOUQUOT MICHELE,10 avis,FR,False,,,5
